"지역","직업분류","분진노출정도","유기용제노출정도","화학제품노출정도","직업항목"
"서울특별시",8,5,6,6,"기능원 및 관련 기능 종사자"
"서울특별시",6,6,6,6,"판매 종사자"
"서울특별시",8,6,6,6,"기능원 및 관련 기능 종사자"
"서울특별시",6,6,6,6,"판매 종사자"
"서울특별시",8,7,7,7,"기능원 및 관련 기능 종사자"
"서울특별시",6,6,6,6,"판매 종사자"
"서울특별시",5,6,6,6,"서비스 종사자"
"서울특별시",6,6,6,6,"판매 종사자"
"서울특별시",4,6,6,6,"사무 종사자"
"서울특별시",9,4,6,6,"장치기계 조작 및 조립 종사자"
"서울특별시",9,4,5,6,"장치기계 조작 및 조립 종사자"
"서울특별시",2,6,7,7,"전문가"
"서울특별시",6,6,6,6,"판매 종사자"
"서울특별시",4,6,6,6,"사무 종사자"
"서울특별시",1,7,7,7,"관리자"
"서울특별시",6,6,6,6,"판매 종사자"
"서울특별시",6,6,6,6,"판매 종사자"
"서울특별시",2,6,7,7,"전문가"
"서울특별시",4,6,6,6,"사무 종사자"
"서울특별시",6,5,6,5,"판매 종사자"
"서울특별시",6,6,6,6,"판매 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",2,6,6,6,"전문가"
"서울특별시",6,6,6,7,"판매 종사자"
"서울특별시",2,6,6,6,"전문가"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",10,6,7,7,"단순노무 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",2,7,7,7,"전문가"
"서울특별시",9,7,7,7,"장치기계 조작 및 조립 종사자"
"서울특별시",9,4,5,5,"장치기계 조작 및 조립 종사자"
"서울특별시",2,7,7,7,"전문가"
"서울특별시",10,7,7,7,"단순노무 종사자"
"서울특별시",10,6,7,6,"단순노무 종사자"
"서울특별시",2,7,7,7,"전문가"
"서울특별시",8,7,7,7,"기능원 및 관련 기능 종사자"
"서울특별시",2,7,7,7,"전문가"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",2,7,7,7,"전문가"
"서울특별시",8,7,7,6,"기능원 및 관련 기능 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",10,7,7,7,"단순노무 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",10,7,7,7,"단순노무 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",2,7,7,7,"전문가"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",10,7,7,7,"단순노무 종사자"
"서울특별시",10,7,7,7,"단순노무 종사자"
"서울특별시",5,6,7,7,"서비스 종사자"
"서울특별시",10,7,7,7,"단순노무 종사자"
"서울특별시",9,4,4,5,"장치기계 조작 및 조립 종사자"
"서울특별시",8,7,7,7,"기능원 및 관련 기능 종사자"
"서울특별시",8,7,7,7,"기능원 및 관련 기능 종사자"
"서울특별시",6,3,3,2,"판매 종사자"
"서울특별시",5,6,6,6,"서비스 종사자"
"서울특별시",5,2,3,5,"서비스 종사자"
"서울특별시",6,6,6,6,"판매 종사자"
"서울특별시",6,3,5,4,"판매 종사자"
"서울특별시",5,4,4,5,"서비스 종사자"
"서울특별시",4,4,4,1,"사무 종사자"
"서울특별시",8,4,5,5,"기능원 및 관련 기능 종사자"
"서울특별시",4,2,3,2,"사무 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",6,7,2,7,"판매 종사자"
"서울특별시",6,6,6,6,"판매 종사자"
"서울특별시",6,6,6,6,"판매 종사자"
"서울특별시",6,6,5,6,"판매 종사자"
"서울특별시",2,6,7,7,"전문가"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",6,4,6,6,"판매 종사자"
"서울특별시",5,3,5,5,"서비스 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",5,6,6,6,"서비스 종사자"
"서울특별시",4,5,5,5,"사무 종사자"
"서울특별시",4,5,5,6,"사무 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",4,6,6,5,"사무 종사자"
"서울특별시",6,3,2,5,"판매 종사자"
"서울특별시",5,4,5,5,"서비스 종사자"
"서울특별시",5,5,2,4,"서비스 종사자"
"서울특별시",4,3,4,4,"사무 종사자"
"서울특별시",4,4,3,1,"사무 종사자"
"서울특별시",5,6,6,6,"서비스 종사자"
"서울특별시",5,5,3,5,"서비스 종사자"
"서울특별시",5,6,6,6,"서비스 종사자"
"서울특별시",5,4,3,6,"서비스 종사자"
"서울특별시",4,4,3,5,"사무 종사자"
"서울특별시",5,6,6,6,"서비스 종사자"
"서울특별시",5,6,6,6,"서비스 종사자"
"서울특별시",5,5,4,4,"서비스 종사자"
"서울특별시",5,2,5,5,"서비스 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",6,5,7,7,"판매 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",5,5,7,7,"서비스 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",2,7,7,7,"전문가"
"서울특별시",2,7,7,7,"전문가"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",2,7,7,7,"전문가"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",10,7,7,7,"단순노무 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",2,7,7,7,"전문가"
"서울특별시",8,7,7,7,"기능원 및 관련 기능 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",2,7,7,7,"전문가"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",2,7,7,7,"전문가"
"서울특별시",2,7,7,7,"전문가"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",6,7,7,7,"판매 종사자"
"서울특별시",8,6,6,7,"기능원 및 관련 기능 종사자"
"서울특별시",9,6,6,6,"장치기계 조작 및 조립 종사자"
"서울특별시",9,7,7,7,"장치기계 조작 및 조립 종사자"
"서울특별시",10,7,7,7,"단순노무 종사자"
"서울특별시",9,7,7,7,"장치기계 조작 및 조립 종사자"
"서울특별시",10,5,6,6,"단순노무 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",4,6,7,7,"사무 종사자"
"서울특별시",6,7,6,6,"판매 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",6,6,7,6,"판매 종사자"
"서울특별시",6,6,7,6,"판매 종사자"
"서울특별시",5,6,6,7,"서비스 종사자"
"서울특별시",6,6,6,5,"판매 종사자"
"서울특별시",5,6,6,7,"서비스 종사자"
"서울특별시",6,6,6,6,"판매 종사자"
"서울특별시",8,7,7,6,"기능원 및 관련 기능 종사자"
"서울특별시",8,7,6,7,"기능원 및 관련 기능 종사자"
"서울특별시",8,6,6,6,"기능원 및 관련 기능 종사자"
"서울특별시",10,2,5,5,"단순노무 종사자"
"서울특별시",6,6,6,6,"판매 종사자"
"서울특별시",6,6,6,7,"판매 종사자"
"서울특별시",9,7,7,7,"장치기계 조작 및 조립 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",8,7,7,7,"기능원 및 관련 기능 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",4,7,7,7,"사무 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"서울특별시",5,7,7,7,"서비스 종사자"
"전라북도",5,6,6,6,"서비스 종사자"
"전라북도",10,5,6,5,"단순노무 종사자"
"전라북도",5,6,6,6,"서비스 종사자"
"전라북도",10,2,7,7,"단순노무 종사자"
"전라북도",5,4,7,7,"서비스 종사자"
"충청북도",10,6,7,7,"단순노무 종사자"
"충청북도",6,7,6,7,"판매 종사자"
"경상남도",2,6,6,6,"전문가"
"경상남도",2,7,7,7,"전문가"
"경상남도",7,7,7,7,"농림어업 숙련 종사자"
"경상남도",10,7,7,7,"단순노무 종사자"
"전라남도",10,5,6,6,"단순노무 종사자"
"전라남도",8,2,3,6,"기능원 및 관련 기능 종사자"
"전라남도",2,6,6,6,"전문가"
"전라남도",1,2,3,6,"관리자"
"전라남도",6,4,6,6,"판매 종사자"
"충청남도",4,6,6,6,"사무 종사자"
"충청남도",6,6,6,6,"판매 종사자"
"충청남도",4,6,6,6,"사무 종사자"
"충청남도",1,6,6,6,"관리자"
"충청남도",4,6,6,6,"사무 종사자"
"충청남도",6,6,6,6,"판매 종사자"
"충청남도",4,6,6,6,"사무 종사자"
"충청남도",4,6,6,6,"사무 종사자"
"경상남도",4,6,6,6,"사무 종사자"
"경상남도",10,6,6,6,"단순노무 종사자"
"경상남도",5,4,6,6,"서비스 종사자"
"경상남도",4,6,6,6,"사무 종사자"
"경상남도",3,6,6,6,"기술공 및 준전문가"
"경상남도",1,6,6,6,"관리자"
"경상남도",4,6,6,6,"사무 종사자"
"경상남도",4,6,6,6,"사무 종사자"
"경상남도",5,6,6,6,"서비스 종사자"
"경상남도",4,6,6,6,"사무 종사자"
"경상남도",5,6,6,6,"서비스 종사자"
"경상남도",4,6,6,6,"사무 종사자"
"경상남도",5,6,6,6,"서비스 종사자"
"경상남도",1,6,6,6,"관리자"
"제주특별자치도",8,2,6,6,"기능원 및 관련 기능 종사자"
"제주특별자치도",2,7,7,7,"전문가"
"제주특별자치도",9,6,6,6,"장치기계 조작 및 조립 종사자"
"제주특별자치도",4,6,6,6,"사무 종사자"
"제주특별자치도",10,5,6,6,"단순노무 종사자"
"제주특별자치도",7,6,6,6,"농림어업 숙련 종사자"
"제주특별자치도",5,7,7,7,"서비스 종사자"
"제주특별자치도",5,6,6,6,"서비스 종사자"
"전라남도",5,5,5,5,"서비스 종사자"
"전라남도",6,5,5,5,"판매 종사자"
"전라남도",6,2,2,2,"판매 종사자"
"전라남도",5,6,4,4,"서비스 종사자"
"전라남도",6,5,5,5,"판매 종사자"
"전라남도",6,5,5,5,"판매 종사자"
"전라남도",6,5,5,5,"판매 종사자"
"전라남도",5,6,5,5,"서비스 종사자"
"전라남도",9,3,3,3,"장치기계 조작 및 조립 종사자"
"전라남도",6,6,6,6,"판매 종사자"
"전라남도",6,5,5,5,"판매 종사자"
"경상남도",5,6,6,6,"서비스 종사자"
"경상남도",5,6,6,6,"서비스 종사자"
"경상남도",6,6,6,6,"판매 종사자"
"경상남도",8,5,5,6,"기능원 및 관련 기능 종사자"
"경상남도",4,6,6,6,"사무 종사자"
"경상남도",6,6,6,6,"판매 종사자"
"경상남도",6,6,6,6,"판매 종사자"
"경상남도",5,6,6,6,"서비스 종사자"
"경상남도",5,6,6,6,"서비스 종사자"
"경상남도",1,6,6,6,"관리자"
"경상남도",1,6,6,6,"관리자"
"경상남도",5,6,6,6,"서비스 종사자"
"경상남도",1,6,6,6,"관리자"
"대구광역시",9,7,7,7,"장치기계 조작 및 조립 종사자"
"대구광역시",2,7,7,7,"전문가"
"대구광역시",6,7,7,7,"판매 종사자"
"대구광역시",2,7,7,7,"전문가"
"대구광역시",3,7,7,7,"기술공 및 준전문가"
"전라남도",10,3,4,7,"단순노무 종사자"
"전라남도",4,4,4,4,"사무 종사자"
"전라남도",4,7,5,5,"사무 종사자"
"전라남도",4,6,7,7,"사무 종사자"
"전라남도",8,7,7,7,"기능원 및 관련 기능 종사자"
"충청북도",10,6,7,7,"단순노무 종사자"
"충청북도",8,7,7,7,"기능원 및 관련 기능 종사자"
"충청북도",10,6,7,7,"단순노무 종사자"
"충청북도",9,6,7,7,"장치기계 조작 및 조립 종사자"
"충청북도",7,7,7,7,"농림어업 숙련 종사자"
"충청북도",5,5,6,6,"서비스 종사자"
"충청북도",10,5,7,7,"단순노무 종사자"
"충청북도",6,6,7,7,"판매 종사자"
"충청북도",1,7,7,7,"관리자"
"충청북도",5,7,7,7,"서비스 종사자"
"충청북도",3,7,7,7,"기술공 및 준전문가"
"충청북도",10,7,7,6,"단순노무 종사자"
"충청북도",1,6,7,7,"관리자"
"충청북도",1,7,7,7,"관리자"
"충청북도",2,7,6,7,"전문가"
"충청북도",2,6,7,7,"전문가"
"부산광역시",9,6,6,5,"장치기계 조작 및 조립 종사자"
"부산광역시",6,6,6,7,"판매 종사자"
"부산광역시",9,6,7,6,"장치기계 조작 및 조립 종사자"
"부산광역시",9,6,6,6,"장치기계 조작 및 조립 종사자"
"부산광역시",6,7,7,7,"판매 종사자"
"부산광역시",9,7,6,6,"장치기계 조작 및 조립 종사자"
"부산광역시",9,7,6,6,"장치기계 조작 및 조립 종사자"
"부산광역시",6,7,6,6,"판매 종사자"
"부산광역시",9,6,6,6,"장치기계 조작 및 조립 종사자"
"부산광역시",6,7,6,6,"판매 종사자"
"부산광역시",2,7,7,7,"전문가"
"부산광역시",6,6,7,7,"판매 종사자"
"부산광역시",1,7,6,6,"관리자"
"부산광역시",5,6,6,6,"서비스 종사자"
"부산광역시",6,6,7,7,"판매 종사자"
"부산광역시",6,6,7,6,"판매 종사자"
"부산광역시",8,4,6,7,"기능원 및 관련 기능 종사자"
"부산광역시",5,7,7,7,"서비스 종사자"
"부산광역시",6,6,6,6,"판매 종사자"
"부산광역시",10,6,7,7,"단순노무 종사자"
"부산광역시",6,7,7,6,"판매 종사자"
"부산광역시",9,7,5,6,"장치기계 조작 및 조립 종사자"
"부산광역시",6,6,7,7,"판매 종사자"
"부산광역시",5,6,7,7,"서비스 종사자"
"부산광역시",5,6,7,6,"서비스 종사자"
"부산광역시",5,6,7,6,"서비스 종사자"
"부산광역시",6,6,6,6,"판매 종사자"
"부산광역시",9,6,6,6,"장치기계 조작 및 조립 종사자"
"부산광역시",2,6,6,6,"전문가"
"부산광역시",4,6,6,6,"사무 종사자"
"부산광역시",2,6,6,6,"전문가"
"부산광역시",6,5,6,6,"판매 종사자"
"부산광역시",5,6,6,6,"서비스 종사자"
"부산광역시",10,6,6,6,"단순노무 종사자"
"부산광역시",2,6,6,6,"전문가"
"부산광역시",5,6,6,6,"서비스 종사자"
"부산광역시",8,6,6,6,"기능원 및 관련 기능 종사자"
"부산광역시",8,6,6,6,"기능원 및 관련 기능 종사자"
"부산광역시",5,6,6,6,"서비스 종사자"
"부산광역시",8,5,5,5,"기능원 및 관련 기능 종사자"
"부산광역시",6,6,6,6,"판매 종사자"
"부산광역시",3,6,6,6,"기술공 및 준전문가"
"부산광역시",5,6,6,6,"서비스 종사자"
"부산광역시",4,6,6,6,"사무 종사자"
"부산광역시",8,6,6,6,"기능원 및 관련 기능 종사자"
"부산광역시",4,6,6,6,"사무 종사자"
"부산광역시",5,6,6,4,"서비스 종사자"
"부산광역시",3,6,6,6,"기술공 및 준전문가"
"부산광역시",5,6,6,6,"서비스 종사자"
"부산광역시",2,6,6,6,"전문가"
"부산광역시",2,6,6,6,"전문가"
"부산광역시",10,6,6,6,"단순노무 종사자"
"부산광역시",6,6,6,6,"판매 종사자"
"부산광역시",10,6,6,6,"단순노무 종사자"
"부산광역시",8,6,5,5,"기능원 및 관련 기능 종사자"
"부산광역시",10,6,6,6,"단순노무 종사자"
"부산광역시",6,6,6,6,"판매 종사자"
"부산광역시",2,5,6,6,"전문가"
"부산광역시",4,6,6,5,"사무 종사자"
"부산광역시",9,3,6,6,"장치기계 조작 및 조립 종사자"
"부산광역시",8,3,6,6,"기능원 및 관련 기능 종사자"
"부산광역시",10,6,6,6,"단순노무 종사자"
"부산광역시",10,6,6,6,"단순노무 종사자"
"부산광역시",6,6,6,6,"판매 종사자"
"부산광역시",10,6,6,6,"단순노무 종사자"
"부산광역시",5,6,6,6,"서비스 종사자"
"부산광역시",6,7,7,7,"판매 종사자"
"부산광역시",6,6,6,6,"판매 종사자"
"부산광역시",9,6,6,6,"장치기계 조작 및 조립 종사자"
"부산광역시",5,6,6,3,"서비스 종사자"
"부산광역시",6,6,7,7,"판매 종사자"
"부산광역시",8,6,7,7,"기능원 및 관련 기능 종사자"
"부산광역시",6,6,6,7,"판매 종사자"
"부산광역시",10,7,7,5,"단순노무 종사자"
"부산광역시",6,7,7,7,"판매 종사자"
"부산광역시",8,6,6,6,"기능원 및 관련 기능 종사자"
"부산광역시",8,7,7,7,"기능원 및 관련 기능 종사자"
"부산광역시",9,6,6,7,"장치기계 조작 및 조립 종사자"
"부산광역시",4,7,7,7,"사무 종사자"
"부산광역시",6,6,6,7,"판매 종사자"
"부산광역시",6,6,7,7,"판매 종사자"
"부산광역시",10,7,7,6,"단순노무 종사자"
"부산광역시",4,7,6,6,"사무 종사자"
"부산광역시",4,7,7,7,"사무 종사자"
"부산광역시",5,6,7,6,"서비스 종사자"
"부산광역시",8,3,6,6,"기능원 및 관련 기능 종사자"
"부산광역시",6,7,7,7,"판매 종사자"
"부산광역시",8,3,5,6,"기능원 및 관련 기능 종사자"
"부산광역시",6,7,7,7,"판매 종사자"
"부산광역시",6,7,6,6,"판매 종사자"
"부산광역시",5,7,7,7,"서비스 종사자"
"부산광역시",10,2,3,3,"단순노무 종사자"
"부산광역시",10,7,7,7,"단순노무 종사자"
"부산광역시",6,7,7,7,"판매 종사자"
"부산광역시",6,7,7,7,"판매 종사자"
"부산광역시",8,7,6,7,"기능원 및 관련 기능 종사자"
"부산광역시",6,7,7,7,"판매 종사자"
"부산광역시",5,7,7,6,"서비스 종사자"
"부산광역시",8,4,5,5,"기능원 및 관련 기능 종사자"
"부산광역시",9,7,7,7,"장치기계 조작 및 조립 종사자"
"부산광역시",6,7,7,7,"판매 종사자"
"부산광역시",5,7,7,7,"서비스 종사자"
"부산광역시",4,7,7,7,"사무 종사자"
"부산광역시",10,7,7,7,"단순노무 종사자"
"부산광역시",6,7,7,7,"판매 종사자"
"부산광역시",9,3,7,7,"장치기계 조작 및 조립 종사자"
"부산광역시",6,7,7,7,"판매 종사자"
"부산광역시",5,7,7,7,"서비스 종사자"
"부산광역시",6,7,7,7,"판매 종사자"
"부산광역시",6,7,7,7,"판매 종사자"
"부산광역시",9,7,7,7,"장치기계 조작 및 조립 종사자"
"부산광역시",5,7,7,7,"서비스 종사자"
"부산광역시",5,7,7,7,"서비스 종사자"
"부산광역시",4,7,5,7,"사무 종사자"
"부산광역시",2,7,7,7,"전문가"
"부산광역시",9,6,7,7,"장치기계 조작 및 조립 종사자"
"부산광역시",8,5,3,5,"기능원 및 관련 기능 종사자"
"부산광역시",8,5,5,5,"기능원 및 관련 기능 종사자"
"부산광역시",9,1,6,7,"장치기계 조작 및 조립 종사자"
"부산광역시",10,2,2,6,"단순노무 종사자"
"부산광역시",9,5,6,6,"장치기계 조작 및 조립 종사자"
"부산광역시",6,7,6,6,"판매 종사자"
"부산광역시",10,2,3,2,"단순노무 종사자"
"부산광역시",9,7,7,7,"장치기계 조작 및 조립 종사자"
"부산광역시",4,7,7,7,"사무 종사자"
"부산광역시",4,7,7,7,"사무 종사자"
"부산광역시",6,7,3,7,"판매 종사자"
"부산광역시",4,7,7,7,"사무 종사자"
"부산광역시",10,7,7,7,"단순노무 종사자"
"부산광역시",5,7,7,7,"서비스 종사자"
"부산광역시",9,7,7,7,"장치기계 조작 및 조립 종사자"
"부산광역시",8,7,7,7,"기능원 및 관련 기능 종사자"
"부산광역시",9,6,7,7,"장치기계 조작 및 조립 종사자"
"부산광역시",9,3,3,3,"장치기계 조작 및 조립 종사자"
"부산광역시",6,7,7,7,"판매 종사자"
"부산광역시",3,7,7,7,"기술공 및 준전문가"
"부산광역시",4,7,7,7,"사무 종사자"
"부산광역시",8,7,7,7,"기능원 및 관련 기능 종사자"
"부산광역시",8,7,7,7,"기능원 및 관련 기능 종사자"
